,Valori Effettivi (East),Predizioni (East)
0,0.7523334,0.75159985
1,0.754,0.75158215
2,0.0,0.0
3,0.75266665,0.75157845
4,0.75100005,0.7515737
5,0.75100005,0.75156903
6,0.7486667,0.75156343
7,0.7562,0.7515558
8,0.0,0.0
9,0.0,0.0
10,0.7565,0.7515491
11,0.75,0.7515434
12,0.745,0.7515376
13,0.75266665,0.7515328
14,0.75533336,0.7515271
15,0.75575,0.75151646
16,0.7501668,0.75150293
17,0.7546666,0.7514884
18,0.7525,0.7514776
19,0.75233334,0.75147283
20,0.7530001,0.75144845
21,0.75149995,0.75141746
22,0.0,0.0
23,0.753,0.75139916
24,0.753077,0.7513782
25,0.75211763,0.7513498
26,0.7501111,0.75132555
27,0.7512,0.7517548
28,0.75699997,0.7529691
29,0.75356245,0.75294393
30,0.7512381,0.7529142
31,0.75338775,0.7528567
32,0.0,0.0
33,0.75408113,0.752786
34,0.7543334,0.75275123
35,0.75365627,0.7523235
36,0.7518519,0.75166726
37,0.75219446,0.75160336
38,0.75284094,0.75153005
39,0.7516875,0.7514803
40,0.7501042,0.7493001
41,0.7427885,0.74495965
42,0.74618024,0.7448494
43,0.0,0.0
44,0.74412507,0.74476385
45,0.7454791,0.74574083
46,0.74689394,0.74611634
47,0.74735004,0.74603313
48,0.74850005,0.7460011
49,0.74731374,0.7465813
50,0.74850535,0.74815696
51,0.74826926,0.7480173
52,0.0,0.0
53,0.7491957,0.7481753
54,0.7483158,0.7488564
55,0.7481556,0.7487672
56,0.7473125,0.74870133
57,0.7495,0.74867314
58,0.74950004,0.74863464
59,0.7491373,0.7492322
60,0.750225,0.7496412
61,0.75133336,0.74958384
62,0.7505,0.74955446
63,0.7513125,0.74951327
64,0.74961907,0.7494691
65,0.75,0.7494313
66,0.74981254,0.7493998
67,0.750875,0.749372
68,0.751,0.74980325
69,0.75058335,0.7513517
70,0.75024,0.75131875
71,0.755,0.75128895
72,0.748,0.7512868
73,0.7533637,0.7512733
74,0.75091666,0.7512467
75,0.7515,0.75122565
76,0.75363636,0.7512058
77,0.0,0.0
78,0.753,0.7511767
79,0.74833333,0.75115705
80,0.75325,0.75114894
81,0.75549996,0.7511398
82,0.75460005,0.75112945
83,0.75883335,0.7511171
84,0.76,0.75110906
85,0.7495,0.7510989
86,0.0,0.0
87,0.7515,0.7510876
88,0.75325,0.7510808
89,0.7506666,0.75107306
90,0.747,0.7510686
91,0.748,0.75106084
92,0.7496667,0.7510507
93,0.752,0.7510463
94,0.7519131,0.75101984
