,Valori Effettivi (North),Predizioni (North)
0,0.6523031,0.6534789
1,0.65225,0.6534389
2,0.65,0.6534327
3,0.0,0.0
4,0.65225,0.6534267
5,0.65275,0.6534187
6,0.657,0.6534138
7,0.656,0.65340704
8,0.64928573,0.65339464
9,0.65433335,0.6533854
10,0.65349996,0.6533808
11,0.65500003,0.6533727
12,0.663,0.6533657
13,0.0,0.0
14,0.6551666,0.6533544
15,0.65125,0.65334094
16,0.0,0.0
17,0.6556667,0.65332806
18,0.6559,0.65331095
19,0.66266674,0.6533011
20,0.65547055,0.6532869
21,0.6512728,0.6532676
22,0.6523334,0.6532566
23,0.6540715,0.6532442
24,0.6452,0.65323275
25,0.6545625,0.6563817
26,0.65900004,0.65634614
27,0.66085714,0.6563226
28,0.6541875,0.6562979
29,0.65435,0.65626144
30,0.65500003,0.65623754
31,0.65827274,0.656223
32,0.6528148,0.65619034
33,0.6525,0.65616536
34,0.65826666,0.656151
35,0.6574048,0.65609616
36,0.64900005,0.65603256
37,0.653,0.6560159
38,0.6537778,0.65595216
39,0.6579091,0.6558803
40,0.0,0.0
41,0.65709805,0.6558271
42,0.6581875,0.65576553
43,0.65341175,0.6557369
44,0.64522225,0.647919
45,0.6491538,0.6468468
46,0.647,0.64678466
47,0.65010715,0.6467373
48,0.6477708,0.6466503
49,0.64891994,0.6478986
50,0.64900005,0.6485695
51,0.6473611,0.6484713
52,0.6499655,0.64839625
53,0.64465714,0.64833635
54,0.65072405,0.6488669
55,0.6452501,0.649216
56,0.64868575,0.6491159
57,0.652,0.6490328
58,0.64538467,0.6490134
59,0.6510556,0.6489411
60,0.65718186,0.6488782
61,0.6514865,0.6492889
62,0.6456957,0.64952314
63,0.6471818,0.64949226
64,0.6532812,0.64942837
65,0.6511,0.64937955
66,0.65292865,0.6493533
67,0.65063155,0.6493164
68,0.6462858,0.6493014
69,0.64635724,0.6492743
70,0.6486316,0.64977026
71,0.65052634,0.65261143
72,0.658125,0.65256953
73,0.6612,0.65251297
74,0.65455556,0.65251714
75,0.65275,0.6524911
76,0.6456,0.6525098
77,0.64775,0.6524608
78,0.6568,0.6524198
79,0.655,0.65254945
80,0.65055555,0.65241444
81,0.656,0.65244544
82,0.0,0.0
83,0.65010005,0.6523989
84,0.6545,0.65238416
85,0.0,0.0
86,0.652,0.65235126
87,0.655,0.6523705
88,0.0,0.0
89,0.652,0.6523644
90,0.6504,0.652371
91,0.0,0.0
92,0.644,0.6522827
93,0.6498,0.65235823
94,0.65138096,0.65230095
